dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.166117,2.904064,5.846454,0.898354,-0.763307,-1.295513,1.371729
0.020000,6.169506,2.921388,5.864107,0.882615,-0.786935,-1.181405,1.383432
0.020000,6.172638,2.938430,5.881435,0.866389,-0.811292,-1.217874,1.394586
0.020000,6.175527,2.955177,5.898429,0.849705,-0.834212,-1.146003,1.405216
0.020000,6.178189,2.971615,5.915081,0.832611,-0.854692,-1.023974,1.415348
0.020000,6.180634,2.987732,5.931383,0.815106,-0.875273,-1.029044,1.425003
0.020000,6.182878,3.003518,5.947327,0.797226,-0.893981,-0.935402,1.434203
0.020000,6.184931,3.018962,5.962907,0.778965,-0.913036,-0.952746,1.442968
0.020000,6.186807,3.034053,5.978114,0.760367,-0.929896,-0.843033,1.451318
0.020000,6.188516,3.048784,5.992944,0.741476,-0.944585,-0.734459,1.459271
0.020000,6.190069,3.063145,6.007388,0.722234,-0.962108,-0.876113,1.466843
0.020000,6.191476,3.077129,6.021443,0.702746,-0.974395,-0.614365,1.474051
0.020000,6.192749,3.090729,6.035103,0.682974,-0.988561,-0.708316,1.480910
0.020000,6.193896,3.103938,6.048362,0.662957,-1.000871,-0.615491,1.487434
0.020000,6.194927,3.116751,6.061216,0.642705,-1.012624,-0.587662,1.493637
0.020000,6.195849,3.129161,6.073660,0.622208,-1.024827,-0.610118,1.499530
0.020000,6.196672,3.141163,6.085691,0.601521,-1.034336,-0.475483,1.505125
0.020000,6.197403,3.152753,6.097303,0.580644,-1.043874,-0.476866,1.510435
0.020000,6.198050,3.163926,6.108495,0.559581,-1.053126,-0.462601,1.515468
0.020000,6.198620,3.174678,6.119262,0.538364,-1.060870,-0.387216,1.520234
0.020000,6.199119,3.185005,6.129601,0.516921,-1.072137,-0.563324,1.524742
0.020000,6.199554,3.194903,6.139509,0.495413,-1.075408,-0.163553,1.529002
0.020000,6.199931,3.204370,6.148984,0.473728,-1.084231,-0.441147,1.533020
0.020000,6.200255,3.213403,6.158022,0.451902,-1.091325,-0.354737,1.536803
0.020000,6.200532,3.221997,6.166621,0.429958,-1.097186,-0.293037,1.540359
0.020000,6.200767,3.230152,6.174779,0.407907,-1.102570,-0.269221,1.543694
0.020000,6.200964,3.237865,6.182495,0.385788,-1.105947,-0.168811,1.546815
0.020000,6.201128,3.245134,6.189765,0.363504,-1.114214,-0.413383,1.549725
0.020000,6.201262,3.251956,6.196588,0.341188,-1.115780,-0.078302,1.552430
0.020000,6.201371,3.258330,6.202964,0.318769,-1.120932,-0.257556,1.554935
0.020000,6.201458,3.264255,6.208889,0.296269,-1.124994,-0.203125,1.557244
0.020000,6.201527,3.269729,6.214363,0.273710,-1.127986,-0.149586,1.559362
0.020000,6.201579,3.274751,6.219386,0.251110,-1.129973,-0.099381,1.561291
0.020000,6.201619,3.279318,6.223953,0.228377,-1.136671,-0.334904,1.563034
0.020000,6.201647,3.283432,6.228067,0.205678,-1.134962,0.085483,1.564594
0.020000,6.201668,3.287090,6.231725,0.182904,-1.138657,-0.184762,1.565975
0.020000,6.201681,3.290291,6.234926,0.160076,-1.141423,-0.138277,1.567179
0.020000,6.201690,3.293035,6.237671,0.137212,-1.143218,-0.089790,1.568206
0.020000,6.201695,3.295322,6.239957,0.114331,-1.144053,-0.041738,1.569059
0.020000,6.201697,3.297151,6.241786,0.091452,-1.143936,0.005849,1.569739
0.020000,6.201698,3.298521,6.243156,0.068492,-1.147986,-0.202479,1.570248
0.020000,6.201699,3.299432,6.244068,0.045581,-1.145567,0.120920,1.570586
0.020000,6.201699,3.299887,6.244522,0.022716,-1.143237,0.116541,1.570754
0.020000,6.201699,3.300000,6.244635,0.005659,-0.852848,14.519415,1.570796
0.020000,6.201699,3.300000,6.244635,0.000000,-0.282954,28.494703,1.570796
